profile_id,source_path,slurm_job_id,mode,offline_online,workload_family,model,dataset,workload_config,repeat,nodes,gpus,gpus_per_node,cpu_sockets,hardware_class,duration_s,energy_compute_Wh,mean_compute_W,median_compute_W,p95_compute_W,p99_compute_W,max_compute_W,p_compute_W_per_node,gpu_W_per_device,cpu_W_per_socket,compute_Wh_per_node_hour,cv,peak_to_mean,batch_like,experimental_unit,aggregation_source,family,n_nodes_from_logs,n_gpu_logs,n_cpu_logs,n_gpu_device_columns,expected_devices,double_count_gpu,E_GPU_Wh,E_CPU_Wh,E_CPU_package_only_Wh,E_compute_native_Wh,gpu_energy_share,cpu_energy_share,core_fraction_of_cpu_energy,mean_GPU_W_all_devices,time_monotonic,mean_GPU_W,mean_CPU_W,energy_gpu_Wh,energy_cpu_Wh,batch_size,max_output_tokens,seed,request_rate,num_prompts,hf_output_len,completed_requests,total_input_tokens,total_output_tokens,energy_J_per_request,energy_J_per_token
train_000020,01_aggregated_datasets/training/results/000020.parquet,10742846,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=16_repeat=4,4,16,64,4,32,Kestrel_H100_4x_SXM80_2x_EPYC9554,2036.6,21945.371665175342,38788.64059231773,39264.4397338391,48119.992519272506,48173.421268613325,48284.13423780803,2424.4862146049554,542.0266232869958,128.33683603801907,2424.4862146049554,0.3083630046226344,1.244800887592099,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,16.0,16.0,16.0,64.0,64.0,False,19624.7363730897,2323.296002444708,2315.5347560325213,21948.032375534407,0.8941455906983945,0.10585440930160549,0.0033406188466816307,34665.782018841935,True,34689.70389036773,4106.77875321661,19624.7363730897,2323.296002444708,,,,,,,,,,,
train_000021,01_aggregated_datasets/training/results/000021.parquet,10742951,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=2_repeat=0,0,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,12754.0,18621.660193825974,5256.164080654433,5670.558239246581,5949.580513009489,5958.211239805941,6014.492746338965,2628.1157557540187,595.3558816318604,123.41233004210297,2628.1157557540187,0.22581179068137686,1.1442741615459833,True,independent_run,source_aggregated_parquet,training_stable_diffusion,2.0,2.0,2.0,8.0,8.0,False,16873.708698517214,1748.8898415077567,1745.6395042163208,18622.59854002497,0.9060877654775771,0.09391223452242298,0.0018585145926822762,4761.37424117306,True,4762.847053054883,493.64932016841186,16873.708698517214,1748.8898415077567,,,,,,,,,,,
train_000022,01_aggregated_datasets/training/results/000022.parquet,10742971,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=2_repeat=1,1,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,12578.8,18673.457455040043,5344.192465963723,5842.905547935258,5968.352710475116,5976.838028771832,6039.001076166953,2672.1327486780997,607.9562742545637,120.15531244489885,2672.1327486780997,0.20318642370417825,1.130011898828186,True,independent_run,source_aggregated_parquet,training_stable_diffusion,2.0,2.0,2.0,8.0,8.0,False,16994.13418354068,1679.344049090993,1676.682423780508,18673.47823263167,0.9100679569081909,0.08993204309180923,0.0015849196071083204,4863.622099686208,True,4863.65019403651,480.6212497795954,16994.13418354068,1679.344049090993,,,,,,,,,,,
train_000023,01_aggregated_datasets/training/results/000023.parquet,10742974,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=2_repeat=2,2,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,12636.2,18680.026399572325,5321.790483878073,5825.052048312908,5971.403144600726,5979.437214106499,6036.754447904834,2660.930304935834,604.0333228297087,122.40353934487136,2660.930304935834,0.21330655326876577,1.1343465072878545,True,independent_run,source_aggregated_parquet,training_stable_diffusion,2.0,2.0,2.0,8.0,8.0,False,16961.52416431281,1718.572893188515,1716.3610042407372,18680.097057501327,0.9079997878009743,0.09200021219902557,0.0012870498286948644,4832.1561117218735,True,4832.26658263767,489.61415737948545,16961.52416431281,1718.572893188515,,,,,,,,,,,
train_000024,01_aggregated_datasets/training/results/000024.parquet,10742976,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=2_repeat=3,3,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,15099.0,22285.86639944038,5313.479655485304,5816.827078007103,5951.701028115395,5959.650005637725,6011.727702128192,2656.769290614788,603.872842341041,120.71730103358905,2656.769290614788,0.20710039241192507,1.1314106935409192,True,independent_run,source_aggregated_parquet,training_stable_diffusion,2.0,2.0,2.0,8.0,8.0,False,20261.946770016395,2025.2339203401789,2022.79689833119,22287.18069035657,0.9091300982175607,0.09086990178243928,0.0012033286547855466,4829.193249969617,True,4830.982738728328,482.8692041343562,20261.946770016395,2025.2339203401789,,,,,,,,,,,
train_000025,01_aggregated_datasets/training/results/000025.parquet,10742977,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=2_repeat=4,4,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,12568.8,18556.70019346356,5315.005630359537,5815.460928553886,5939.796966356903,5948.244847845164,6005.7972455315185,2657.5377401370383,605.8569700031585,117.05980518104306,2657.5377401370383,0.20506149464108522,1.1299700627269613,True,independent_run,source_aggregated_parquet,training_stable_diffusion,2.0,2.0,2.0,8.0,8.0,False,16921.989076834885,1634.7791992883265,1631.3694405396293,18556.76827612321,0.9119038846116444,0.08809611538835557,0.002085761031325577,4846.752192934786,True,4846.855760025268,468.23922072417224,16921.989076834885,1634.7791992883265,,,,,,,,,,,
train_000026,01_aggregated_datasets/training/results/000026.parquet,10742978,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=2_repeat=5,5,2,8,4,4,Kestrel_H100_4x_SXM80_2x_EPYC9554,10053.8,14887.297043454395,5330.662269627327,5840.135711328163,5957.447704591085,5966.412602661146,6028.693315989635,2665.3737570090825,607.0397512304946,118.6157219050473,2665.3737570090825,0.20465913930003596,1.1309464023521993,True,independent_run,source_aggregated_parquet,training_stable_diffusion,2.0,2.0,2.0,8.0,8.0,False,13562.347224269215,1325.043049876627,1323.2270905716987,14887.390274145844,0.9109956126979648,0.0890043873020351,0.0013704907965801556,4856.154970640338,True,4856.318009843957,474.4628876201892,13562.347224269215,1325.043049876627,,,,,,,,,,,
train_000027,01_aggregated_datasets/training/results/000027.parquet,10742981,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=4_repeat=0,0,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,7300.0,16981.46894006934,8374.240878833247,9721.073736168266,11850.605889831415,11870.780447991947,11931.770335346271,2093.6057597345757,458.8128485652229,129.18403065092528,2093.6057597345757,0.41171789816376514,1.4248181426814512,True,independent_run,source_aggregated_parquet,training_stable_diffusion,4.0,4.0,4.0,16.0,16.0,False,14885.927975671677,2095.6520527816765,2088.8573778466625,16981.580028453354,0.87659263453281,0.12340736546718993,0.003242272459302196,7340.777680337912,True,7341.0055770435665,1033.4722452074022,14885.927975671677,2095.6520527816765,,,,,,,,,,,
train_000028,01_aggregated_datasets/training/results/000028.parquet,10742982,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=4_repeat=1,1,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,5632.4,15458.224228692457,9879.98097049259,10171.564822942113,11885.421569304255,11898.935425751737,11932.81911638157,2470.066367059018,557.6594871119223,119.96198014712066,2470.066367059018,0.2585330781335982,1.2077775404649014,True,independent_run,source_aggregated_parquet,training_stable_diffusion,4.0,4.0,4.0,16.0,16.0,False,13959.827978707517,1501.497459956983,1498.9234224637426,15461.3254386645,0.9028868859973574,0.09711311400264255,0.0017143135848622715,8912.046356409941,True,8922.551793790757,959.6958411769652,13959.827978707517,1501.497459956983,,,,,,,,,,,
train_000029,01_aggregated_datasets/training/results/000029.parquet,10742983,training,batch,stable_diffusion,stable_diffusion,mlperf_training_v4.0,nodes=4_repeat=2,2,4,16,4,8,Kestrel_H100_4x_SXM80_2x_EPYC9554,5607.0,15468.703882087791,9931.456903905028,10196.044956409767,11900.884793318075,11912.572443759827,11967.620557509257,2482.938022807029,559.3801872508101,122.73508333910014,2482.938022807029,0.2544787903908531,1.205021647207029,True,independent_run,source_aggregated_parquet,training_stable_diffusion,4.0,4.0,4.0,16.0,16.0,False,13939.754266290187,1529.2791384051877,1526.360772724145,15469.033404695376,0.901139321482039,0.0988606785179609,0.0019083276608914362,8948.96406028866,True,8950.082996012961,981.8806667128011,13939.754266290187,1529.2791384051877,,,,,,,,,,,
