scenario_id,normalized_solver_objective,active_weight_sum,average_delay_hours,peak_queue_mwh,total_dc_grid_energy_mwh,site_water_consumption_m3,indirect_grid_water_consumption_m3,heat_rejected_mwh_thermal,weight_electricity_cost_usd,electricity_cost_usd,normalized_electricity_cost_usd,weight_grid_co2e_metric_tons,grid_co2e_metric_tons,normalized_grid_co2e_metric_tons,weight_total_water_footprint_m3,total_water_footprint_m3,normalized_total_water_footprint_m3,weight_delay_mwh_hours,delay_mwh_hours,normalized_delay_mwh_hours,pair_name,metric_1,metric_2,alpha_weight_on_metric_1,one_minus_alpha_weight_on_metric_2,pairwise_nondominated
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.20,0.6348273145667944,1.0,0.054308399227220125,7.638124980325513,1068.0885492933035,307.60950219647145,4827.760242805732,1068.0885492933035,0.2,33339.865611671376,0.46648447096442275,0.0,364.2854176547069,0.47535698997888287,0.0,5135.369745002203,0.0,0.8,36.629431615134884,0.010680628215576223,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.2,0.8,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.25,0.7903068698780459,1.0,0.07876722313806697,7.638124980325513,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.25,33199.06878670754,0.4497545977645319,0.0,364.17978632792364,0.47247923040430145,0.0,5135.369745002203,0.0,0.75,53.12619510986788,0.015581571277664652,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.25,0.75,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.30,0.9439722149513494,1.0,0.14100151609435294,10.211732456555783,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.30000000000000004,32919.420467550284,0.41652600101694787,0.0,364.02359838775027,0.46822413531124996,0.0,5135.369745002203,0.0,0.7,95.10141092171557,0.028051783557692802,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.30000000000000004,0.7,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.35,1.095478581465645,1.0,0.21653547352964117,10.211732456555783,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.35000000000000003,32656.091837762702,0.3852365554816612,0.0,363.8982978462466,0.4648105188776301,0.0,5135.369745002205,0.0,0.6499999999999999,146.04686259891503,0.043186919490389476,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.35000000000000003,0.6499999999999999,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.40,1.2433763106168298,1.0,0.44481083542045097,14.463948934515596,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.4,32028.1543720154,0.31062326656615147,0.0,361.9957687257398,0.4129791014450809,0.0,5135.369745002205,0.0,0.6,300.01193755565646,0.0889276531897047,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.4,0.6,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.45,1.3835632653178171,1.0,0.7494581628728881,21.810667067569412,1068.088549293304,307.60950219647157,4827.7602428057335,1068.088549293304,0.45,31323.68743317989,0.22691653125262076,0.0,359.34268095710274,0.3406998926071153,0.0,5135.369745002205,0.0,0.55,505.4876762340224,0.14997143891317408,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.45,0.55,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.50,1.5165219144587372,1.0,1.1458709977677,21.810667067569362,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.5,30586.448636600522,0.139315751988025,0.0,356.49114276719956,0.2630142137638081,0.0,5135.369745002204,0.0,0.5,772.8565737481928,0.2294027615304057,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.5,0.5,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.55,1.6433484394991944,1.0,1.3540319219163723,24.15930354056876,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.55,30270.701440451005,0.1017977855412725,0.0,355.0662087091113,0.22419412360983693,0.0,5135.369745002205,0.0,0.44999999999999996,913.2550469962389,0.27111305965115573,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.55,0.44999999999999996,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.60,1.765673825367931,1.0,1.5594156954403695,24.71986148442,1068.088549293304,307.6095021964715,4827.7602428057335,1068.088549293304,0.6000000000000001,30006.07064193693,0.07035361266973611,0.0,353.91540269569884,0.19284222143806773,0.0,5135.369745002204,0.0,0.3999999999999999,1051.780413131224,0.31226688550913523,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.6000000000000001,0.3999999999999999,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.65,1.8854586723451516,1.0,1.8037031637451675,25.456917823230235,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.65,29767.21698281738,0.041972351718529116,0.0,352.84750936673123,0.1637491451163703,0.0,5135.369745002205,0.0,0.35,1216.5451869421247,0.3612160491037348,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.65,0.35,True
