climate,contrast,heat_rejection,tech_id,PUE_rdhx,PUE_coldplate,PUE_immersion,PUE_subtype_range,WUE_rdhx,WUE_coldplate,WUE_immersion,WUE_subtype_range,semantics,liquid_cooling_type,PUE_dry_adiabatic,PUE_we_tower,dPUE_we_minus_dry,rel_dPUE_we_minus_dry,WUE_dry_adiabatic,WUE_we_tower,dWUE_we_minus_dry,rel_dWUE_we_minus_dry
4C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.102288,1.1251731,0.022885100000000103,0.020761452542348374,0.23404152691364283,1.944140374660492,1.710098847746849,7.3068180262635405
5A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0980536,1.09942765,1.0973156,0.002112050000000032,0.13802971690893168,0.13841188699007034,0.14779870212078094,0.009768985211849268,SOURCE_MODEL_SCENARIO,,,,,,,,,
5A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.12689555,1.12402865,1.1293129,0.005284249999999879,1.947967410087586,1.9402195215225215,1.9435012936592098,0.007747888565064365,SOURCE_MODEL_SCENARIO,,,,,,,,,
5A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0980536,1.12689555,0.028841949999999894,0.02626643180260043,0.13802971690893168,1.947967410087586,1.8099376931786542,13.112666849652403
5A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09942765,1.12402865,0.024601000000000095,0.022376188192101677,0.13841188699007034,1.9402195215225215,1.8018076345324512,13.017723215215703
5A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0973156,1.1293129,0.031997300000000006,0.029159614608595747,0.14779870212078094,1.9435012936592098,1.7957025915384288,12.149650611078997
5B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0953188,1.1022068,1.0939356500000001,0.008271149999999894,0.2073683068156242,0.21078959107398987,0.21226863563060755,0.00490032881498334,SOURCE_MODEL_SCENARIO,,,,,,,,,
5B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1243074,1.1145896,1.1163764999999999,0.009717799999999999,1.9647983312606807,1.9533556103706362,2.000994443893433,0.04763883352279685,SOURCE_MODEL_SCENARIO,,,,,,,,,
5B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0953188,1.1243074,0.02898859999999992,0.026465901982144303,0.2073683068156242,1.9647983312606807,1.7574300244450565,8.474921030278878
5B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.1022068,1.1145896,0.012382799999999916,0.01123455235442198,0.21078959107398987,1.9533556103706362,1.7425660192966463,8.26685041902749
5B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0939356500000001,1.1163764999999999,0.022440849999999735,0.020513866606321617,0.21226863563060755,2.000994443893433,1.7887258082628255,8.426707991733586
5C,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.09810055,1.0978028499999999,1.09916985,0.0013670000000001181,0.20845718681812286,0.22247178107500076,0.23001246154308314,0.02155527472496027,SOURCE_MODEL_SCENARIO,,,,,,,,,
5C,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1275691,1.1253773,1.11860925,0.008959850000000102,1.971439003944397,1.982292234897613,1.9597157835960393,0.02257645130157382,SOURCE_MODEL_SCENARIO,,,,,,,,,
5C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.09810055,1.1275691,0.029468550000000038,0.02683593046192358,0.20845718681812286,1.971439003944397,1.762981817126274,8.457284894017402
5C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0978028499999999,1.1253773,0.02757445000000014,0.025117852444999703,0.22247178107500076,1.982292234897613,1.7598204538226123,7.910308648220572
5C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.09916985,1.11860925,0.019439399999999996,0.01768552876518583,0.23001246154308314,1.9597157835960393,1.729703322052956,7.520041785775025
6A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.09944985,1.0996734,1.09956325,0.00022354999999985026,0.10211862251162525,0.10087106749415395,0.11641342565417284,0.015542358160018893,SOURCE_MODEL_SCENARIO,,,,,,,,,
6A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1259584999999999,1.12437815,1.12984975,0.00547159999999991,1.9672284126281738,2.0035998225212097,1.975638747215271,0.03637140989303589,SOURCE_MODEL_SCENARIO,,,,,,,,,
6A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.09944985,1.1259584999999999,0.0265086499999998,0.024110831430828608,0.10211862251162525,1.9672284126281738,1.8651097901165485,18.264149517921897
6A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0996734,1.12437815,0.024704750000000164,0.022465533857598235,0.10087106749415395,2.0035998225212097,1.9027287550270557,18.862978278061046
6A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.09956325,1.12984975,0.030286499999999883,0.02754411808506685,0.11641342565417284,1.975638747215271,1.859225321561098,15.970884037759214
6B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.09564665,1.0935912,1.0970602,0.0034689999999999444,0.24427822977304453,0.23956495523452753,0.25083124637603754,0.01126629114151001,SOURCE_MODEL_SCENARIO,,,,,,,,,
6B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1243178,1.1147322000000002,1.1113970499999999,0.012920750000000147,1.9538815021514893,1.9340928792953491,2.0052582025527954,0.07116532325744629,SOURCE_MODEL_SCENARIO,,,,,,,,,
6B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.09564665,1.1243178,0.02867115000000009,0.026168245026806855,0.24427822977304453,1.9538815021514893,1.7096032723784447,6.99859039410435
6B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.0935912,1.1147322000000002,0.021141000000000076,0.019331721030674053,0.23956495523452753,1.9340928792953491,1.6945279240608215,7.073354791822222
6B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0970602,1.1113970499999999,0.014336849999999846,0.013068425962403745,0.25083124637603754,2.0052582025527954,1.7544269561767578,6.9944513752747595
7,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.0976629,1.09761965,1.09957465,0.001955000000000151,0.1121267788112163,0.11268745362758631,0.11336557194590566,0.0012387931346893588,SOURCE_MODEL_SCENARIO,,,,,,,,,
7,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1265625,1.1218116999999999,1.11309645,0.013466049999999896,1.988303422927856,1.9445918798446655,1.9680895805358887,0.043711543083190474,SOURCE_MODEL_SCENARIO,,,,,,,,,
7,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.0976629,1.1265625,0.028899599999999914,0.026328301703555722,0.1121267788112163,1.988303422927856,1.8761766441166396,16.73263661016686
7,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09761965,1.1218116999999999,0.02419204999999991,0.022040467296663202,0.11268745362758631,1.9445918798446655,1.8319044262170792,16.256507421591273
7,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.09957465,1.11309645,0.013521799999999917,0.012297300597098992,0.11336557194590566,1.9680895805358887,1.854724008589983,16.360557943243975
8,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.09715985,1.09554315,1.0994471,0.0039039499999999894,0.1312250271439552,0.1369538977742195,0.1413619145750999,0.010136887431144687,SOURCE_MODEL_SCENARIO,,,,,,,,,
8,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1120541,1.11422105,1.1020899499999999,0.012131100000000172,1.928363919258118,1.953458309173584,2.0098989009857178,0.08153498172759988,SOURCE_MODEL_SCENARIO,,,,,,,,,
8,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.09715985,1.1120541,0.014894249999999998,0.013575278023525924,0.1312250271439552,1.928363919258118,1.7971388921141627,13.695092553821176
8,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09554315,1.11422105,0.018677900000000136,0.017048986158144604,0.1369538977742195,1.953458309173584,1.8165044113993645,13.263619662684087
8,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0994471,1.1020899499999999,0.0026428499999999744,0.00240379914595252,0.1413619145750999,2.0098989009857178,1.8685369864106178,13.218107522291229
