Cooling system,Climate Zone,Data center size,n,pearson,spearman,paired_mean_PUE_x_WUE,indep_mean_PUE_x_WUE,rel_bias_product,frac_independent_farther_than_paired_nn_p95,nn_p95_standardized
Airside economizer (water-cooled chiller),1B,Midsize,50,0.36797834408249724,0.38141656662665063,2.836343478941284,2.8307868925084554,-0.0019590668316738953,0.0525,0.6714218561752365
Airside economizer (water-cooled chiller),2A,Midsize,50,0.2945635936004658,0.2801920768307323,3.163842100389325,3.1525298291662356,-0.0035754853953354707,0.023,0.8061768777705888
Airside economizer (water-cooled chiller),2B,Midsize,50,0.23281306995037257,0.21296518607442977,2.3393255268057076,2.3255597846420897,-0.005884491921231121,0.063,0.5305711335358361
Airside economizer (water-cooled chiller),3A,Midsize,50,0.10066880566097217,0.05546218487394958,2.0869206911608957,2.096460605421624,0.0045712874002036994,0.02,0.7685947664386814
Airside economizer (water-cooled chiller),3B,Midsize,50,0.0891193817714339,0.0012965186074429772,1.9774610199733562,1.9765840618672519,-0.0004434768105396822,0.0285,0.5991895374702213
Airside economizer (water-cooled chiller),3C,Midsize,50,0.051849568300142236,-0.046242496998799516,1.5477269541317247,1.5634132856471243,0.010135076780516304,0.0305,0.7890336362850001
Airside economizer (water-cooled chiller),4A,Midsize,50,0.3535367025364354,0.4161824729891957,1.787046113592484,1.8043650849581336,0.009691395892875676,0.02,0.8664079059751609
Airside economizer (water-cooled chiller),4B,Midsize,50,0.05588695893855066,0.030684273709483793,1.8340751507487922,1.8419061385013706,0.004269720218051734,0.016,0.7649089746018045
Airside economizer (water-cooled chiller),4C,Midsize,50,0.3202401190467246,0.23447779111644657,0.7181588795882713,0.7181748204124185,2.2196793217096436e-05,0.029,0.9269019438283472
Airside economizer (water-cooled chiller),5A,Midsize,50,0.10829602150377499,0.0857142857142857,1.6313626606135692,1.6233763175728582,-0.004895504374059455,0.0725,0.6270425632023677
Airside economizer (water-cooled chiller),5B,Midsize,50,0.18064800300720113,0.1415126050420168,1.676083110135353,1.678289563472777,0.0013164343248144726,0.055,0.5623713671594961
Airside economizer (water-cooled chiller),5C,Midsize,50,-0.22967629381243795,-0.17483793517406962,0.6553419497091455,0.6586980294246515,0.005121112294116832,0.048,0.6558680119646998
Airside economizer (water-cooled chiller),6A,Midsize,50,-0.015747841685013163,-0.09339735894357742,1.957269018946017,1.9550466366382733,-0.0011354506131918325,0.014,0.8185505064803819
Airside economizer (water-cooled chiller),6B,Midsize,50,0.23742066305515003,0.18271308523409363,1.566373199276554,1.5632316578027716,-0.0020056149295923035,0.0915,0.5866578277991471
Airside economizer (water-cooled chiller),7,Midsize,50,0.4649731851585434,0.4624729891956783,2.119293119406768,2.1033724603221957,-0.007512249692495908,0.0485,0.6251945181370648
Airside economizer (water-cooled chiller),8,Midsize,50,0.2078310304685965,0.1884753901560624,2.207247372390952,2.1949071027063356,-0.005590795956526209,0.12,0.49593811033856267
Airside economizer& adiabatic cooling (air-cooled chiller),0A,Large-scale,50,0.014348458239838442,0.022040816326530613,0.05737206716756691,0.05707128411343819,-0.0052426741614560015,0.0105,0.7428226317137344
Airside economizer& adiabatic cooling (air-cooled chiller),0B,Large-scale,50,-0.2522772357893986,-0.22352941176470587,0.0640972538991546,0.06402341753728698,-0.0011519426711134144,0.049,0.807844009189756
Airside economizer& adiabatic cooling (air-cooled chiller),1A,Large-scale,50,0.24353874029650016,0.21066026410564226,0.03386505876764206,0.03347732697054073,-0.011449317119502566,0.0205,1.0158832425330362
Airside economizer& adiabatic cooling (air-cooled chiller),1B,Large-scale,50,0.11653513026623281,0.1371908763505402,0.035142693172765915,0.035026113402535926,-0.0033173260130311766,0.0305,0.6338300143970701
Airside economizer& adiabatic cooling (air-cooled chiller),2A,Large-scale,50,0.3174032231513512,0.23822328931572626,0.034264399981136354,0.034004021584401245,-0.00759909401239932,0.0485,0.6522288041924148
Airside economizer& adiabatic cooling (air-cooled chiller),2B,Large-scale,50,0.1400088163246182,0.20172869147659062,0.06608879460361225,0.06538112142416135,-0.010707914763696187,0.023,0.9184044405851912
Airside economizer& adiabatic cooling (air-cooled chiller),3A,Large-scale,50,0.19682184502594904,0.25118847539015604,0.02185253927543998,0.02138832386670308,-0.02124308772018223,0.0425,0.7216865653196747
Airside economizer& adiabatic cooling (air-cooled chiller),3B,Large-scale,50,0.2721230623399182,0.3277310924369748,0.03456329971158264,0.03400535864114158,-0.016142586937499148,0.075,0.5616086512116444
Airside economizer& adiabatic cooling (air-cooled chiller),3C,Large-scale,50,0.43867567549097725,0.4133013205282113,0.01767202869072755,0.017504178314577415,-0.009498081917341299,0.1555,0.45279411250593515
Airside economizer& adiabatic cooling (air-cooled chiller),4A,Large-scale,50,0.22835034483751565,0.2611764705882353,0.019134185262757952,0.018956738774220862,-0.009273793793690583,0.059,0.7268202358017251
Airside economizer& adiabatic cooling (air-cooled chiller),4B,Large-scale,50,-0.08107704100897448,-0.03990396158463385,0.027465865180696804,0.027577698909557323,0.004071735156521366,0.1145,0.5044756984704769
