profile_id,dataset,request_rate,num_prompts,duration_s,mean_compute_W,max_compute_W,energy_compute_Wh,peak_to_mean
online_rate_000121,mgoin/mlperf-inference-llama2-data,22.0,6600.0,179.934,2472.781567589922,2561.8125127050057,123.59374405075694,1.0360043710621223
online_rate_000122,mgoin/mlperf-inference-llama2-data,23.0,6900.0,179.92,2505.22059500326,2583.534441791731,125.20535818138514,1.031260259852833
online_rate_000123,mgoin/mlperf-inference-llama2-data,24.0,7200.0,179.916,2526.7834464924954,2606.389783910194,126.28021404420662,1.0315050098686545
online_rate_000124,mgoin/mlperf-inference-llama2-data,25.0,7500.0,179.911,2550.6418309468795,2627.5873642761067,127.46903401319001,1.0301671259349896
online_rate_000125,mgoin/mlperf-inference-llama2-data,26.0,7800.0,179.97,2578.948579005753,2683.963936663269,128.92593771212927,1.0407202216098477
online_rate_000126,mgoin/mlperf-inference-llama2-data,27.0,8100.0,179.868,2609.106536909452,2698.5295644951325,130.3596596057859,1.0342734289768036
online_rate_000127,mgoin/mlperf-inference-llama2-data,28.0,8400.0,179.866,2642.5684552818884,2748.770520896403,132.0300604938145,1.0401889553333012
online_rate_000128,mgoin/mlperf-inference-llama2-data,29.0,8700.0,179.863,2665.905333477908,2789.185519047164,133.19381416537138,1.0462432720401313
online_rate_000129,mgoin/mlperf-inference-llama2-data,30.0,9000.0,179.974,2694.847149198007,2797.842013227311,134.7228946749339,1.0382191858487986
online_rate_000130,mgoin/mlperf-inference-llama2-data,31.0,9300.0,179.931,2716.3338349775518,2828.857272669726,135.7646286837072,1.0414247454577337
online_rate_000131,mgoin/mlperf-inference-llama2-data,32.0,9600.0,179.92,2739.722209821705,2822.501698930901,136.9252277753114,1.030214555626274
online_rate_000132,mgoin/mlperf-inference-llama2-data,33.0,9900.0,179.89,2767.385372351628,2871.269811606918,138.28470962009288,1.0375388409193667
online_rate_000133,mgoin/mlperf-inference-llama2-data,34.0,10200.0,179.89,2781.712963104174,2872.715299370828,139.00065137022494,1.0327144955190137
online_rate_000134,mgoin/mlperf-inference-llama2-data,35.0,10500.0,179.954,2796.703362937224,2875.236812083293,139.79943249277923,1.0280807218194172
online_rate_000135,mgoin/mlperf-inference-llama2-data,36.0,10800.0,179.851,2814.1074163427247,2899.198860729812,140.58889803795984,1.0302374542964938
online_rate_000136,mgoin/mlperf-inference-llama2-data,37.0,11100.0,179.96,2821.634351308501,2895.0288044523754,141.05036607263276,1.026011326772315
online_rate_000137,mgoin/mlperf-inference-llama2-data,38.0,11400.0,179.879,2826.093053900381,2885.2596223376504,141.20966456737406,1.0209358175080652
online_rate_000138,mgoin/mlperf-inference-llama2-data,39.0,11700.0,179.917,2838.540720136796,2893.785287350884,141.86159187357,1.0194623127377316
online_rate_000139,mgoin/mlperf-inference-llama2-data,40.0,12000.0,179.891,2836.6288509662977,2895.149799485821,141.74555573032728,1.0206304566420765
online_rate_000140,mgoin/mlperf-inference-llama2-data,41.0,12300.0,179.902,2831.7081976842437,2887.7677789565305,141.50832449438633,1.019797089727724
online_rate_000141,mgoin/mlperf-inference-llama2-data,42.0,12600.0,179.933,2831.711720364571,2892.4163588857105,141.5328847167662,1.0214374359100804
online_rate_000142,mgoin/mlperf-inference-llama2-data,43.0,12900.0,179.906,2824.030468024244,2884.4312310770742,141.12778482788045,1.021388141430035
online_rate_000143,mgoin/mlperf-inference-llama2-data,44.0,13200.0,179.966,2820.842883621178,2899.461928571735,141.01550288715805,1.0278707635249902
online_rate_000144,mgoin/mlperf-inference-llama2-data,45.0,13500.0,179.902,2814.206380475799,2902.334238538875,140.63371007232143,1.0313153501017136
online_rate_000145,mgoin/mlperf-inference-llama2-data,46.0,13800.0,179.903,2769.1867037363977,2922.4447783843475,138.38472098952477,1.0553440742876463
online_rate_000146,mgoin/mlperf-inference-llama2-data,47.0,14100.0,179.873,2756.4490559056826,2947.6616241596403,137.72521139803413,1.0693691645939494
online_rate_000147,mgoin/mlperf-inference-llama2-data,48.0,14400.0,179.916,2759.4053897585004,2934.7148351110523,137.905883362164,1.0635316021354495
online_rate_000148,mgoin/mlperf-inference-llama2-data,49.0,14700.0,179.881,2761.4040143814877,2918.9290673129644,137.97892097526565,1.057045275559491
online_rate_000149,mgoin/mlperf-inference-llama2-data,50.0,15000.0,179.882,2779.150052178197,2924.896233058727,138.86640824608844,1.0524427174294888
online_rate_000150,mgoin/mlperf-inference-llama2-data,51.0,15300.0,179.89,2778.8401248624564,2928.300225888125,138.85709723930756,1.0537850665421302
online_rate_000151,mgoin/mlperf-inference-llama2-data,52.0,15600.0,179.902,2784.475951151961,2928.471005532382,139.14799793448336,1.0517135205713841
online_rate_000152,mgoin/mlperf-inference-llama2-data,53.0,15900.0,179.874,2794.406891635177,2943.4613991071947,139.62254034055164,1.0533403019861567
online_rate_000153,mgoin/mlperf-inference-llama2-data,54.0,16200.0,179.971,2770.9090361972294,2945.759702233809,138.523130598181,1.0631022757342274
online_rate_000154,mgoin/mlperf-inference-llama2-data,55.0,16500.0,179.853,2764.4104156634417,2918.300556800952,138.10764069119915,1.0556683408026364
