profile_id,mode,workload_family,nodes,repeat,duration_s,energy_compute_Wh,mean_compute_W,p_compute_W_per_node,peak_to_mean,cv,slurm_job_id,aggregation_source
offline_000999,offline_inference,llama3_70b_offline_inference,1,0,30.467219,22.967901262559213,2713.8822399646374,2713.8822399646374,1.1276359479982814,,,source_metadata_mean_times_elapsed
offline_001000,offline_inference,llama3_70b_offline_inference,1,1,28.703646,21.422043924186276,2686.744329520737,2686.744329520737,1.0643773596654371,,,source_metadata_mean_times_elapsed
offline_001001,offline_inference,llama3_70b_offline_inference,1,2,28.953481,21.775125849867255,2707.46212034132,2707.46212034132,1.061678288973264,,,source_metadata_mean_times_elapsed
offline_001002,offline_inference,llama3_70b_offline_inference,1,0,30.647892,23.9892182505826,2817.85075796069,2817.85075796069,1.0834732475827584,,,source_metadata_mean_times_elapsed
offline_001003,offline_inference,llama3_70b_offline_inference,1,1,26.819815,20.70207276424659,2778.820881176389,2778.820881176389,1.0361923872125312,,,source_metadata_mean_times_elapsed
offline_001004,offline_inference,llama3_70b_offline_inference,1,2,26.44175,20.48220936160681,2788.6185181307787,2788.6185181307787,1.0417214367632808,,,source_metadata_mean_times_elapsed
offline_001005,offline_inference,llama3_70b_offline_inference,1,0,86.699441,66.48072433488736,2760.4630992441407,2760.4630992441407,1.1133103197240588,,,source_metadata_mean_times_elapsed
offline_001006,offline_inference,llama3_70b_offline_inference,1,1,82.296314,62.88688827138205,2750.9469959611483,2750.9469959611483,1.110017406691664,,,source_metadata_mean_times_elapsed
offline_001007,offline_inference,llama3_70b_offline_inference,1,2,82.571867,63.15853299127588,2753.6100009533898,2753.6100009533898,1.1141215953479047,,,source_metadata_mean_times_elapsed
offline_001008,offline_inference,llama3_70b_offline_inference,1,0,18.514478,14.266372596825224,2773.9880837348373,2773.9880837348373,1.1008370239860386,,,source_metadata_mean_times_elapsed
offline_001009,offline_inference,llama3_70b_offline_inference,1,1,15.915924,12.27336258293704,2776.094262486635,2776.094262486635,1.0401451273378302,,,source_metadata_mean_times_elapsed
offline_001010,offline_inference,llama3_70b_offline_inference,1,2,15.941017,12.255281337712018,2767.6410366893947,2767.6410366893947,1.0367927207190129,,,source_metadata_mean_times_elapsed
offline_001011,offline_inference,llama3_70b_offline_inference,1,0,20.535841,16.097111386511138,2821.876201293149,2821.876201293149,1.0825469847026132,,,source_metadata_mean_times_elapsed
offline_001012,offline_inference,llama3_70b_offline_inference,1,1,18.231524,14.107504626785069,2785.6703946651,2785.6703946651,1.0379383042275863,,,source_metadata_mean_times_elapsed
offline_001013,offline_inference,llama3_70b_offline_inference,1,2,18.535352,14.18563146531854,2755.182274129282,2755.182274129282,1.0511051554208908,,,source_metadata_mean_times_elapsed
offline_001014,offline_inference,llama3_70b_offline_inference,1,0,57.337938,43.22679729345756,2714.0227863870377,2714.0227863870377,1.1230976644378328,,,source_metadata_mean_times_elapsed
offline_001015,offline_inference,llama3_70b_offline_inference,1,1,53.013176,39.50400243459791,2682.6238210016404,2682.6238210016404,1.1387478533177204,,,source_metadata_mean_times_elapsed
offline_001016,offline_inference,llama3_70b_offline_inference,1,2,55.847892,41.75505456917239,2691.564373620773,2691.564373620773,1.1354617322531237,,,source_metadata_mean_times_elapsed
offline_001017,offline_inference,llama3_70b_offline_inference,1,0,22.064948,13.461753914572444,2196.3484388207394,2196.3484388207394,1.2444431220823673,,,source_metadata_mean_times_elapsed
offline_001018,offline_inference,llama3_70b_offline_inference,1,1,21.510373,13.051507927886668,2184.3149135717917,2184.3149135717917,1.0733415170097231,,,source_metadata_mean_times_elapsed
offline_001019,offline_inference,llama3_70b_offline_inference,1,2,21.327592,13.026485411626345,2198.811168267606,2198.811168267606,1.0790534057352643,,,source_metadata_mean_times_elapsed
offline_001020,offline_inference,llama3_70b_offline_inference,1,0,26.876651,20.94849542278449,2805.95166124024,2805.95166124024,1.0884825499482995,,,source_metadata_mean_times_elapsed
offline_001021,offline_inference,llama3_70b_offline_inference,1,1,23.782018,18.30911056498418,2771.539321597648,2771.539321597648,1.0443724652538378,,,source_metadata_mean_times_elapsed
offline_001022,offline_inference,llama3_70b_offline_inference,1,2,23.148188,17.99416032846727,2798.4469964768805,2798.4469964768805,1.034757261256081,,,source_metadata_mean_times_elapsed
offline_001023,offline_inference,llama3_70b_offline_inference,1,0,43.284117,30.582099065442286,2543.5555641713154,2543.5555641713154,1.2053688853818858,,,source_metadata_mean_times_elapsed
offline_001024,offline_inference,llama3_70b_offline_inference,1,1,36.32512,26.31239929050603,2607.6895945786746,2607.6895945786746,1.099534843364347,,,source_metadata_mean_times_elapsed
offline_001025,offline_inference,llama3_70b_offline_inference,1,2,35.223361,26.20358083892169,2678.1342933207907,2678.1342933207907,1.0746846313344574,,,source_metadata_mean_times_elapsed
offline_001026,offline_inference,llama3_70b_offline_inference,1,0,41.898528,32.70566079785259,2810.131632124864,2810.131632124864,1.0878367520098386,,,source_metadata_mean_times_elapsed
offline_001027,offline_inference,llama3_70b_offline_inference,1,1,39.439827,30.26719484652049,2762.73781442991,2762.73781442991,1.0507597447089665,,,source_metadata_mean_times_elapsed
offline_001028,offline_inference,llama3_70b_offline_inference,1,2,39.795718,30.719831634908036,2778.977222767257,2778.977222767257,1.0421024335532452,,,source_metadata_mean_times_elapsed
offline_001029,offline_inference,llama3_70b_offline_inference,1,0,35.047978,27.026675395871802,2776.081160092559,2776.081160092559,1.107227319049485,,,source_metadata_mean_times_elapsed
offline_001030,offline_inference,llama3_70b_offline_inference,1,1,31.921697,24.130338467253985,2721.322067624235,2721.322067624235,1.0591935459926185,,,source_metadata_mean_times_elapsed
offline_001031,offline_inference,llama3_70b_offline_inference,1,2,31.523226,24.153253109359504,2758.3379693973648,2758.3379693973648,1.0434248689038952,,,source_metadata_mean_times_elapsed
offline_001032,offline_inference,llama3_70b_offline_inference,1,0,85.773952,65.44042652950863,2746.585997415988,2746.585997415988,1.118174590125249,,,source_metadata_mean_times_elapsed
offline_001033,offline_inference,llama3_70b_offline_inference,1,1,86.681411,65.9595299597766,2739.391354107004,2739.391354107004,1.1232341787679465,,,source_metadata_mean_times_elapsed
offline_001034,offline_inference,llama3_70b_offline_inference,1,2,85.935513,65.42580549484983,2740.809841694427,2740.809841694427,1.1136125938926011,,,source_metadata_mean_times_elapsed
offline_001035,offline_inference,llama3_70b_offline_inference,1,0,55.299899,43.08838534932891,2805.0356341081933,2805.0356341081933,1.0837805939452367,,,source_metadata_mean_times_elapsed
offline_001036,offline_inference,llama3_70b_offline_inference,1,1,53.25257,41.37374126705922,2796.9630115769664,2796.9630115769664,1.0910160496871817,,,source_metadata_mean_times_elapsed
offline_001037,offline_inference,llama3_70b_offline_inference,1,2,52.59788,41.01957006826341,2807.5362019486006,2807.5362019486006,1.0814223257217237,,,source_metadata_mean_times_elapsed
offline_001038,offline_inference,llama3_70b_offline_inference,1,0,12.2725,8.126468646774937,2383.8082809851107,2383.8082809851107,1.18256313294776,,,source_metadata_mean_times_elapsed
offline_001039,offline_inference,llama3_70b_offline_inference,1,1,11.741988,7.6605003932144795,2348.6484073712327,2348.6484073712327,1.075480286294797,,,source_metadata_mean_times_elapsed
offline_001040,offline_inference,llama3_70b_offline_inference,1,2,11.795861,7.719891500966749,2356.0475495159103,2356.0475495159103,1.0672264262554496,,,source_metadata_mean_times_elapsed
offline_001041,offline_inference,llama3_70b_offline_inference,1,0,53.189938,39.3445804807738,2662.918872565441,2662.918872565441,1.1456741119693599,,,source_metadata_mean_times_elapsed
offline_001042,offline_inference,llama3_70b_offline_inference,1,1,47.619424,35.238796707429785,2664.031974572965,2664.031974572965,1.1442238057357985,,,source_metadata_mean_times_elapsed
offline_001043,offline_inference,llama3_70b_offline_inference,1,2,47.61192,35.26712174584224,2666.593539706697,2666.593539706697,1.1436822887098141,,,source_metadata_mean_times_elapsed
offline_001044,offline_inference,llama3_70b_offline_inference,1,0,9.678822,5.409524846239667,2012.051616039927,2012.051616039927,1.0673940905403434,,,source_metadata_mean_times_elapsed
offline_001045,offline_inference,llama3_70b_offline_inference,1,1,9.575153,5.330582784298302,2004.155758500557,2004.155758500557,1.0552335660692966,,,source_metadata_mean_times_elapsed
offline_001046,offline_inference,llama3_70b_offline_inference,1,2,9.580091,5.402339241913387,2030.0873207663888,2030.0873207663888,1.0679235575732957,,,source_metadata_mean_times_elapsed
offline_001047,offline_inference,llama3_70b_offline_inference,1,0,36.751536,28.391205985132732,2781.063124721585,2781.063124721585,1.1041954392513176,,,source_metadata_mean_times_elapsed
offline_001048,offline_inference,llama3_70b_offline_inference,1,1,32.53989,24.723137367249315,2735.205758903842,2735.205758903842,1.0627873085954258,,,source_metadata_mean_times_elapsed
offline_001049,offline_inference,llama3_70b_offline_inference,1,2,31.856286,24.21958428824324,2736.995249153516,2736.995249153516,1.0532230881655473,,,source_metadata_mean_times_elapsed
offline_001050,offline_inference,llama3_70b_offline_inference,1,0,33.670003,25.848418365062745,2763.7154090608747,2763.7154090608747,1.1095304095344762,,,source_metadata_mean_times_elapsed
offline_001051,offline_inference,llama3_70b_offline_inference,1,1,31.304111,23.979440096771338,2757.656473565942,2757.656473565942,1.0449686763409727,,,source_metadata_mean_times_elapsed
offline_001052,offline_inference,llama3_70b_offline_inference,1,2,32.056422,24.332179362650447,2732.552176457548,2732.552176457548,1.0573049303267534,,,source_metadata_mean_times_elapsed
offline_001053,offline_inference,llama3_70b_offline_inference,1,0,26.673203,18.856305662358434,2544.97745863106,2544.97745863106,1.2054016862417298,,,source_metadata_mean_times_elapsed
offline_001054,offline_inference,llama3_70b_offline_inference,1,1,25.192726,17.474140209313315,2497.026512872324,2497.026512872324,1.103412886149909,,,source_metadata_mean_times_elapsed
offline_001055,offline_inference,llama3_70b_offline_inference,1,2,25.133469,17.522347781237873,2509.8187604924865,2509.8187604924865,1.1039382525605121,,,source_metadata_mean_times_elapsed
offline_001056,offline_inference,llama3_70b_offline_inference,1,0,27.481816,21.532394928520432,2820.651362438114,2820.651362438114,1.087530677845381,,,source_metadata_mean_times_elapsed
offline_001057,offline_inference,llama3_70b_offline_inference,1,1,23.071222,17.634067570219788,2751.5943131573717,2751.5943131573717,1.0549397357647774,,,source_metadata_mean_times_elapsed
offline_001058,offline_inference,llama3_70b_offline_inference,1,2,22.953275,17.695994918457288,2775.4462797333376,2775.4462797333376,1.0408405686765305,,,source_metadata_mean_times_elapsed
offline_001059,offline_inference,llama3_70b_offline_inference,1,0,19.294667,15.112783917699359,2819.744031017363,2819.744031017363,1.0843697133070236,,,source_metadata_mean_times_elapsed
offline_001060,offline_inference,llama3_70b_offline_inference,1,1,17.026174,13.18933514525606,2788.7419994017337,2788.7419994017337,1.0355235506970482,,,source_metadata_mean_times_elapsed
offline_001061,offline_inference,llama3_70b_offline_inference,1,2,17.250502,13.1647704378617,2747.35040037108,2747.35040037108,1.0497879430858812,,,source_metadata_mean_times_elapsed
offline_001062,offline_inference,llama3_70b_offline_inference,1,0,40.161597,31.554045113265385,2828.4373852901163,2828.4373852901163,1.0821451804908575,,,source_metadata_mean_times_elapsed
offline_001063,offline_inference,llama3_70b_offline_inference,1,1,37.694446,29.288374073021792,2797.179899205269,2797.179899205269,1.0519985939213474,,,source_metadata_mean_times_elapsed
offline_001064,offline_inference,llama3_70b_offline_inference,1,2,37.934185,29.341534499157387,2784.547083243428,2784.547083243428,1.0534803014285161,,,source_metadata_mean_times_elapsed
offline_001065,offline_inference,llama3_70b_offline_inference,1,0,82.353503,62.77875352640408,2744.309646367498,2744.309646367498,1.1101470605956596,,,source_metadata_mean_times_elapsed
offline_001066,offline_inference,llama3_70b_offline_inference,1,1,80.975907,61.48677231372836,2733.558517960436,2733.558517960436,1.1224982027375539,,,source_metadata_mean_times_elapsed
offline_001067,offline_inference,llama3_70b_offline_inference,1,2,81.015924,61.6170157884042,2737.9957653541683,2737.9957653541683,1.119767056087116,,,source_metadata_mean_times_elapsed
offline_001068,offline_inference,llama3_70b_offline_inference,1,0,40.024608,30.739941841812318,2764.893803095444,2764.893803095444,1.11267680709103,,,source_metadata_mean_times_elapsed
offline_001069,offline_inference,llama3_70b_offline_inference,1,1,33.345595,25.368489189544448,2738.7893688014865,2738.7893688014865,1.0547260716786577,,,source_metadata_mean_times_elapsed
offline_001070,offline_inference,llama3_70b_offline_inference,1,2,34.284934,25.987159542435013,2728.7138529351128,2728.7138529351128,1.060672671342108,,,source_metadata_mean_times_elapsed
offline_001071,offline_inference,llama3_70b_offline_inference,1,0,32.612775,24.962531403716202,2755.518751574447,2755.518751574447,1.1110056435597384,,,source_metadata_mean_times_elapsed
offline_001072,offline_inference,llama3_70b_offline_inference,1,1,32.03205,24.38214370977307,2740.2466390750224,2740.2466390750224,1.0592817933408754,,,source_metadata_mean_times_elapsed
offline_001073,offline_inference,llama3_70b_offline_inference,1,2,30.91181,23.619908915881837,2750.782697524817,2750.782697524817,1.05299290176528,,,source_metadata_mean_times_elapsed
offline_001074,offline_inference,llama3_70b_offline_inference,1,0,19.270861,11.134114491773698,2079.9699697063515,2079.9699697063515,1.0434001240369266,,,source_metadata_mean_times_elapsed
offline_001075,offline_inference,llama3_70b_offline_inference,1,1,19.037842,10.916402198643036,2064.259589669613,2064.259589669613,1.0505883616308695,,,source_metadata_mean_times_elapsed
