regime,model,site_code,n_transitions,n_wells,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,delta_h_IQR_ft,note
T1_TEMPORAL_OOS,B1,338509N1178361W002,6,1,4.3115227198594175,5.284819884583291,-0.6656808384012959,0.3333333333333333,3.819999999999986,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338511N1180333W001,1,1,3.960203452023813,3.960203452023813,3.960203452023813,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338543N1178361W001,48,1,3.860969466931518,4.254044546216053,0.6911652213210124,0.5208333333333334,1.6749999999999972,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338552N1178566W001,6,1,5.491549281722038,6.357772006402803,0.23457219303085367,0.3333333333333333,6.729999999999993,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338552N1178566W002,6,1,8.017325595641907,9.906687861065802,-0.8160649646152643,0.5,3.6274999999999977,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338552N1178566W003,6,1,7.978190332035858,10.02803786473757,-0.7623263340541371,0.5,3.612500000000022,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338556N1180264W001,8,1,1.5980546279190206,2.271833273999171,-1.0874456097603724,0.875,1.6625000000000005,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338556N1180264W002,7,1,9.5587790286413,12.07537819593149,-1.2590762452725446,0.8571428571428571,12.585,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338556N1180264W003,8,1,5.515203896100631,8.065257319589406,-1.0749246448017664,0.75,7.384999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338628N1179046W001,10,1,6.049520560431711,7.580311569904812,-2.631235114498665,0.6666666666666666,5.250000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338629N1178426W001,13,1,5.478598040342608,7.479504534517103,0.7786056040694752,0.6363636363636364,3.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338638N1178430W001,13,1,4.813587192712192,6.607280560996991,0.7016825271463982,0.6666666666666666,5.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338642N1178978W001,6,1,4.711474228766798,5.251498277207047,-2.445317038248147,0.3333333333333333,3.669999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338642N1178978W002,6,1,4.062223875627073,4.154181835244338,-1.7786063157648637,0.6666666666666666,6.277500000000003,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338642N1178978W003,6,1,4.978824110870092,5.239511883559198,-1.1655060642209791,0.5,7.464999999999989,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338642N1178979W001,13,1,3.7513283128247363,4.082991458591342,-0.8406691859497784,0.75,3.5,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338649N1178024W001,6,1,4.758872073456099,4.95175821152754,-1.5405481743392915,0.5,2.914999999999992,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338650N1178151W001,12,1,7.886514800867332,13.335450931846013,-0.5515623127025587,0.6666666666666666,1.5974999999999966,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338664N1178426W001,13,1,5.7502609039709585,8.034424497357364,0.7425761600055168,0.5833333333333334,2.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338715N1179765W001,10,1,1.805071301848209,2.534562133500017,-0.9491874791505657,0.9,5.02,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338764N1176943W001,3,1,3.572034574857124,4.0493083128531415,0.43426194534616186,0.0,0.9000000000000057,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338774N1176944W001,4,1,3.6555864064380454,4.082340496334658,-0.0582676291189953,0.5,0.30000000000001137,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338942N1178371W001,12,1,3.852140010381262,4.57487315320952,-1.1898674662027728,0.25,0.3049999999999784,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338970N1179254W001,5,1,5.163159061331929,6.383755364778291,-4.425233942440598,0.2,1.1400000000000148,head-level residual equals delta-h residual conditional on observed h_prev
