regime,model,site_code,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,well_RMSE_improvement_ft_vs_B0,well_MAE_improvement_ft_vs_B0,well_RMSE_skill_vs_B0,well_MAE_skill_vs_B0
T1_TEMPORAL_OOS,B0,336798N1177876W002,6,1,25.925,31.5135619,-8.755,25.925,31.5135619,-8.755,,-1.936750712,-0.08363756206,39.39,31.5135619,25.925,0,0,0,0
T1_TEMPORAL_OOS,B0,336824N1177430W001,4,1,2.19,2.432231486,-1.655,2.19,2.432231486,-1.655,,-1.85899833,-0.862216591,1.865,2.432231486,2.19,0,0,0,0
T1_TEMPORAL_OOS,B0,336831N1179773W001,7,1,14.73142857,17.77958701,-2.925714286,14.73142857,17.77958701,-2.925714286,,-0.2906950779,-0.02783188182,25.41,17.77958701,14.73142857,0,0,0,0
T1_TEMPORAL_OOS,B0,336848N1179242W001,12,1,11.9475,17.78877291,-0.08583333333,11.9475,17.78877291,-0.08583333333,,-0.6153271387,-2.328252547e-05,9.2075,17.78877291,11.9475,0,0,0,0
T1_TEMPORAL_OOS,B0,336853N1177671W001,1,1,8.69,8.69,-8.69,8.69,8.69,-8.69,,,,0,8.69,8.69,0,0,0,0
T1_TEMPORAL_OOS,B0,336853N1179432W001,12,1,5.145833333,6.684501353,-0.1641666667,5.145833333,6.684501353,-0.1641666667,,0.5837445844,-0.0006035231826,5.59,6.684501353,5.145833333,0,0,0,0
T1_TEMPORAL_OOS,B0,336868N1179445W001,11,1,5.145454545,6.771864253,-0.1818181818,5.145454545,6.771864253,-0.1818181818,,0.5346023624,-0.0007213919922,5.935,6.771864253,5.145454545,0,0,0,0
T1_TEMPORAL_OOS,B0,336870N1178340W001,2,1,64.5,65.19585876,9.5,64.5,65.19585876,9.5,,-4.620495868,-0.02169340785,64.5,65.19585876,64.5,0,0,0,0
T1_TEMPORAL_OOS,B0,336870N1179436W001,11,1,5.145454545,6.771864253,-0.1818181818,5.145454545,6.771864253,-0.1818181818,,0.5346023624,-0.0007213919922,5.935,6.771864253,5.145454545,0,0,0,0
T1_TEMPORAL_OOS,B0,336875N1179148W001,8,1,2.9075,3.21099673,-0.34,2.9075,3.21099673,-0.34,,-0.09489031717,-0.01133900283,4.205,3.21099673,2.9075,0,0,0,0
T1_TEMPORAL_OOS,B0,336886N1178041W001,7,1,18.47142857,21.44098212,-3.328571429,18.47142857,21.44098212,-3.328571429,,-0.03909726226,-0.02469569917,28.75,21.44098212,18.47142857,0,0,0,0
