fit_id,regime,gap_threshold_days,held_out_spatial_fold,model,target,feature,coefficient_standardized_scale,training_feature_mean,training_feature_scale,n_training_transitions,n_training_wells,fit_split,training_target_month_min,training_target_month_max,training_independence_classes,validation_used,test_used,hyperparameter_search
T2_SPATIOTEMPORAL_OOS_G90_F2_B1,T2_SPATIOTEMPORAL_OOS,90,2,B1,delta_h,INTERCEPT,-0.04765209125475304,0.0,1.0,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B1,T2_SPATIOTEMPORAL_OOS,90,2,B1,delta_h,delta_days,-0.6682245992719111,35.281452656316006,20.048871838694392,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B1,T2_SPATIOTEMPORAL_OOS,90,2,B1,delta_h,season_sin,0.6683089208954986,0.029070934489803035,0.7099993730393187,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B1,T2_SPATIOTEMPORAL_OOS,90,2,B1,delta_h,season_cos,3.6459452986334817,-0.02815371782235257,0.7030385047950385,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B1,T2_SPATIOTEMPORAL_OOS,90,2,B1,delta_h,time_trend_years,-0.42504817478790713,2.5881093849718075,1.400395234270436,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B2,T2_SPATIOTEMPORAL_OOS,90,2,B2,h_target,INTERCEPT,61.50625118821292,0.0,1.0,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B2,T2_SPATIOTEMPORAL_OOS,90,2,B2,h_target,h_prev,78.51529098578595,61.553903279467676,80.86127549720622,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B2,T2_SPATIOTEMPORAL_OOS,90,2,B2,h_target,delta_days,-0.8235841664872936,35.281452656316006,20.048871838694392,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B2,T2_SPATIOTEMPORAL_OOS,90,2,B2,h_target,season_sin,0.7584485579120513,0.029070934489803035,0.7099993730393187,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B2,T2_SPATIOTEMPORAL_OOS,90,2,B2,h_target,season_cos,3.5919650616844914,-0.02815371782235257,0.7030385047950385,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B2,T2_SPATIOTEMPORAL_OOS,90,2,B2,h_target,time_trend_years,-0.45996403331263686,2.5881093849718075,1.400395234270436,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,INTERCEPT,61.506251188212936,0.0,1.0,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,h_prev,78.55506378144392,61.553903279467676,80.86127549720622,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,delta_days,-0.6507766084729775,35.281452656316006,20.048871838694392,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,season_sin,0.5300434795604109,0.029070934489803035,0.7099993730393187,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,season_cos,3.376781254839441,-0.02815371782235257,0.7030385047950385,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,time_trend_years,-0.5640768374605982,2.5881093849718075,1.400395234270436,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,log1p_interval_mean_discharge_cfs,-3.9776040449873884,5.726511951215031,0.7665056993358765,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F2_B3,T2_SPATIOTEMPORAL_OOS,90,2,B3,h_target,log1p_antecedent_30d_mean_discharge_cfs,4.250458560947938,5.730127990069013,0.7838702632125851,4208,137,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B1,T2_SPATIOTEMPORAL_OOS,90,3,B1,delta_h,INTERCEPT,-0.07597382769901842,0.0,1.0,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B1,T2_SPATIOTEMPORAL_OOS,90,3,B1,delta_h,delta_days,-0.9501725561532104,31.35518947655398,20.325885508337674,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B1,T2_SPATIOTEMPORAL_OOS,90,3,B1,delta_h,season_sin,-0.13256322815593638,-0.011220614487343057,0.7095657291138032,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B1,T2_SPATIOTEMPORAL_OOS,90,3,B1,delta_h,season_cos,4.338062851946176,-0.032584780555900784,0.7037959973982852,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B1,T2_SPATIOTEMPORAL_OOS,90,3,B1,delta_h,time_trend_years,-0.3426989011341523,2.7710337493270862,1.3853336798799132,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
