year,scope,share_mae,share_corr,n_months,peak_month_obs,peak_month_gray,peak_month_error,summer_fraction_obs,summer_fraction_gray,amplitude_obs,amplitude_gray,month,p_obs,p_gray,share_abs_error
2020.0,month,,,,,,,,,,,11.0,0.049931010693342534,0.0,0.049931010693342534
2020.0,month,,,,,,,,,,,12.0,0.03710762331838565,0.0,0.03710762331838565
2021.0,year,0.07403473893825753,0.9810201489602411,12.0,7.0,7.0,0.0,0.4816187966230402,0.9258272302525854,1.6489033814267207,4.4935092213696315,,,,
2021.0,month,,,,,,,,,,,1.0,0.04603862360596179,0.0,0.04603862360596179
2021.0,month,,,,,,,,,,,2.0,0.04999925552031685,0.0,0.04999925552031685
2021.0,month,,,,,,,,,,,3.0,0.05728026682151844,0.0,0.05728026682151844
2021.0,month,,,,,,,,,,,4.0,0.06070487336400589,0.00352143960519192,0.05718343375881397
2021.0,month,,,,,,,,,,,5.0,0.07323446643141107,0.01120214456181985,0.06203232186959122
2021.0,month,,,,,,,,,,,6.0,0.15832849421539288,0.3201521204791078,0.1618236262637149
2021.0,month,,,,,,,,,,,7.0,0.17594288351870874,0.3744591017808026,0.19851621826209387
2021.0,month,,,,,,,,,,,8.0,0.14734741888893851,0.231216007992675,0.08386858910373649
2021.0,month,,,,,,,,,,,9.0,0.0838358571194592,0.058198950828564196,0.02563690629089501
2021.0,month,,,,,,,,,,,10.0,0.057525945116957744,0.0012502347518387085,0.05627571036511904
2021.0,month,,,,,,,,,,,11.0,0.03853426839981536,0.0,0.03853426839981536
2021.0,month,,,,,,,,,,,12.0,0.05122764699751344,0.0,0.05122764699751344
2022.0,year,0.08480270637711962,0.8281266418597253,12.0,8.0,7.0,-1.0,0.41238259717523484,0.8622774886976012,1.3852705292294591,5.15992910763022,,,,
2022.0,month,,,,,,,,,,,1.0,0.04817951690364096,0.0,0.04817951690364096
2022.0,month,,,,,,,,,,,2.0,0.08764106082471787,0.0,0.08764106082471787
2022.0,month,,,,,,,,,,,3.0,0.06515413186969173,0.0,0.06515413186969173
2022.0,month,,,,,,,,,,,4.0,0.08170290283659419,0.0004268732833377421,0.08127602955325645
2022.0,month,,,,,,,,,,,5.0,0.06456268187087463,0.0009403095614272873,0.06362237230944734
2022.0,month,,,,,,,,,,,6.0,0.11824268376351463,0.06036707111966131,0.05787561264385332
2022.0,month,,,,,,,,,,,7.0,0.14198348671603303,0.42999409230251845,0.2880106055864854
2022.0,month,,,,,,,,,,,8.0,0.15215642669568716,0.3719163252754214,0.21975989857973424
2022.0,month,,,,,,,,,,,9.0,0.11696515176606968,0.11801088586256778,0.0010457340964980938
2022.0,month,,,,,,,,,,,10.0,0.04817951690364096,0.018344442595066054,0.029835074308574905
2022.0,month,,,,,,,,,,,11.0,0.03671721592656557,0.0,0.03671721592656557
2022.0,month,,,,,,,,,,,12.0,0.03851522392296955,0.0,0.03851522392296955
2023.0,year,0.07591959460724677,0.8729800408278956,12.0,8.0,7.0,-1.0,0.4521552464365447,0.8897934344856394,1.9095311695002575,5.130176507664861,,,,
2023.0,month,,,,,,,,,,,1.0,0.04372316675253305,0.0,0.04372316675253305
2023.0,month,,,,,,,,,,,2.0,0.06448566031255365,0.0,0.06448566031255365
2023.0,month,,,,,,,,,,,3.0,0.045715267044478786,0.0,0.045715267044478786
2023.0,month,,,,,,,,,,,4.0,0.05220676627168125,0.012916152233298199,0.03929061403838305
2023.0,month,,,,,,,,,,,5.0,0.0897132062510733,0.02013748874351073,0.06957571750756257
2023.0,month,,,,,,,,,,,6.0,0.11080199210029193,0.09292261250590597,0.017879379594385958
2023.0,month,,,,,,,,,,,7.0,0.14152498712004122,0.4275147089720717,0.28598972185203053
2023.0,month,,,,,,,,,,,8.0,0.19982826721621155,0.3693561130076617,0.16952784579145014
2023.0,month,,,,,,,,,,,9.0,0.11126567061652068,0.06293511028199214,0.04833056033452854
2023.0,month,,,,,,,,,,,10.0,0.05644856603125536,0.014217814255559423,0.042230751775695935
2023.0,month,,,,,,,,,,,11.0,0.04070066975785677,0.0,0.04070066975785677
2023.0,month,,,,,,,,,,,12.0,0.043585780525502306,0.0,0.043585780525502306
2024.0,year,0.06867857649802149,0.8835899698070251,12.0,7.0,7.0,0.0,0.45757613183245704,0.8488615248299165,2.3412258724725645,6.395981235414482,,,,
2024.0,month,,,,,,,,,,,1.0,0.036169236740887116,0.0,0.036169236740887116
2024.0,month,,,,,,,,,,,2.0,0.02445393274286319,0.0,0.02445393274286319
2024.0,month,,,,,,,,,,,3.0,0.035516426126539394,0.0,0.035516426126539394
2024.0,month,,,,,,,,,,,4.0,0.05435971629203571,0.0,0.05435971629203571
2024.0,month,,,,,,,,,,,5.0,0.06590740675394331,0.004045825671787737,0.06186158108215557
2024.0,month,,,,,,,,,,,6.0,0.10684921839161578,0.08606315240094621,0.020786065990669567
2024.0,month,,,,,,,,,,,7.0,0.21936200995095098,0.5329984362845402,0.31363642633358924
2024.0,month,,,,,,,,,,,8.0,0.13136490348989024,0.22979993614443012,0.09843503265453987
2024.0,month,,,,,,,,,,,9.0,0.15140795370337695,0.1346060933990415,0.016801860304335448
2024.0,month,,,,,,,,,,,10.0,0.11165708034863615,0.012486556099254321,0.09917052424938183
2024.0,month,,,,,,,,,,,11.0,0.024259853911570626,0.0,0.024259853911570626
2024.0,month,,,,,,,,,,,12.0,0.038692261547690454,0.0,0.038692261547690454
