year,simulation_id,facility_energy_mwh,it_energy_mwh,annual_pue,facility_peak_mw,facility_peak_to_mean,raw_evap_m3,arrival_cv,terminal_backlog_work_units,first_backlog_start_work_units,first_it_mw,last_it_mw,january_it_scale_jump_pct
2017,9,426000.00000000006,400883.0331942659,1.0626541028828291,61.56776773993388,1.2660414211310347,21170.64508415731,0.1750860660254769,11.415492327705717,0.0,43.852194741528656,42.332806267284276,28.369214721672137
2018,9,488000.0,457263.1850854602,1.067219089393333,70.49379975511235,1.2654214874073446,18351.583852819036,0.17861025884832288,13.728466002945428,11.415492327705717,51.764165597444396,56.99505084655233,22.279078950286557
2019,9,573000.0,532418.9651786432,1.0762201151263282,82.43773341475236,1.2603046155553763,12631.491131915887,0.17865893756756387,0.0,13.728466002945428,58.11754455946738,48.69711819352706,1.9694582182883555
2020,9,686000.0,642157.483100669,1.0682737771545332,99.27672953908245,1.271205236547085,27128.942816200968,0.17760273875226476,0.0,0.0,59.47146024143847,56.19745592257571,22.12521489483861
2021,9,898409.0,849681.6560742513,1.057347764986338,130.0813988511501,1.2683678079093987,51392.56239444099,0.1756917245506413,0.0,0.0,89.57616448785005,89.78731840184145,59.39540859511649
2022,9,982177.0,915469.13950729,1.0728674049336195,142.5815484406344,1.271679508214871,51974.02262542165,0.1764667130354869,10.168445519193263,0.0,80.76417943203117,105.5501586970791,-10.049458131077474
2023,9,1375321.0,1313980.7058006697,1.046682796732508,199.72553174578744,1.2721362199029158,54677.0645214293,0.17853871089417533,13.577693372200663,10.168445519193263,151.7504030693861,150.00999488940278,43.770890487145714
2024,9,1728291.0,1606663.266967841,1.075702068711448,249.24987293005395,1.2668068536013866,85614.76693002229,0.17721005553931782,0.0,13.577693372200663,198.14780296910993,167.7109639032724,32.08973383086741
2011,10,71000.0,66972.27422495201,1.0601401971436617,9.364088724455618,1.155343904594806,1984.0282052214332,0.15269132504506266,0.0,8.033917229367168,7.721963337292666,7.806162652825957,
2012,10,153000.0,143780.31661551644,1.0641234043818248,20.181651220510897,1.158664211248155,5148.848824079325,0.1533180433917445,0.0,0.0,15.540361866361962,15.860921125828941,99.078120166201
2013,10,223999.99999999994,211886.87071013497,1.057167908748985,29.60278740541665,1.1576804360332584,9348.505775935648,0.152702735323929,0.0,0.0,22.608096864507804,23.372326489280262,42.53962102926878
2014,10,262000.0,249263.22185858613,1.0510977032489768,34.54531020949027,1.1550264024241783,9845.16012822758,0.1547239379116234,0.0,0.0,27.944840052647912,27.926821180257164,19.563792956019324
2015,10,284000.0,264170.4323787143,1.0750635392565737,37.47324013756734,1.1558647310038377,12357.385498878913,0.1536643301080887,26.2384546395766,0.0,31.315092769153445,31.899160557816195,12.132679072302063
2016,10,327000.0000000001,307368.2493992938,1.063870457144073,43.09073402220156,1.1575199010734507,8637.064071809908,0.15487253980144763,0.0,26.2384546395766,35.991469243901896,34.734158529923874,12.828891464615578
2017,10,426000.0,396352.1838444327,1.0748016974903412,56.25087994039221,1.1567082353939806,20212.598230739604,0.15453492811785674,0.0,0.0,46.15970676847865,45.31015496488732,32.89427100619563
2018,10,488000.0,462160.3305331647,1.0559106175058897,64.4831862338235,1.1575260479678153,17821.96350518327,0.1531500535288984,0.0,0.0,50.24197406521719,52.01860245542561,10.884577870351011
2019,10,573000.0,535423.0055777518,1.0701818824196776,75.7660921941751,1.1583088440156613,12454.564346274889,0.15527797736914653,0.0,0.0,63.35888710235894,63.26764993654058,21.800440826242397
2020,10,686000.0000000001,636039.5655837194,1.0785492556118423,90.42216492032924,1.1578255053355275,26055.443382009,0.1538021544481866,0.0,0.0,70.77808653336207,66.52400749488915,11.870895480320026
2021,10,898409.0,848094.1519713802,1.0593269602339124,118.91867780380689,1.1595249129976974,50560.03592265419,0.15664042026353622,0.0,0.0,93.5560542498635,79.16713255611523,40.63502451660198
2022,10,982177.0000000002,917703.9758256776,1.0702547072614728,129.80945659840017,1.1577656978344895,50779.73497209961,0.1544915580682171,1.5530399612433783,0.0,106.57163796079617,97.65828075144354,34.61601364083267
2023,10,1375321.0,1287588.8017821684,1.0681368136290097,181.83771028507675,1.158201134205958,51972.49184802929,0.15310164911626697,0.0,1.5530399612433783,144.2890131059475,125.78307492255321,47.748876998138925
2024,10,1728291.0000000005,1618463.2064021337,1.067859308239707,228.04532944268072,1.1590352399130164,82881.13163654885,0.15569096707474134,0.0,0.0,171.74538414781583,181.72099914576256,36.54093307351756
2011,11,71000.0,67145.72621656556,1.05740162480339,9.983071851487548,1.2317142171694497,2031.782320711596,0.16893357122608738,0.0,22.379037429661448,7.014008877386876,7.967225913614694,
2012,11,153000.00000000003,143971.66092986346,1.0627091402004092,21.43654403972907,1.23070982251621,5220.949320414046,0.17169833470201973,0.0,0.0,15.659390949646301,16.46031445604709,96.5475953541991
2013,11,224000.00000000006,212295.3674573871,1.0551337162124481,31.38157456121033,1.2272437194473322,9517.524631561779,0.17012343721201936,57.816713300089035,0.0,24.271850066081264,21.535190671847133,47.456782377352575
2014,11,262000.0,244179.9757360457,1.0729790565759474,36.82194903713448,1.231146082310298,9602.253792796137,0.17161438005171273,4.872801441310369,57.816713300089035,27.016725983927955,26.887113896315874,25.453850841668245
2015,11,284000.0,263107.48692931724,1.079406760007158,39.93128238200046,1.2316832171349439,12416.386872245279,0.17215990160626055,0.0,4.872801441310369,31.78728958377723,26.880235317879563,18.22499694968298
2016,11,327000.0,311061.92303729686,1.0512376339960843,45.99789089744106,1.2356130692450222,8857.087270955291,0.17247806722822087,0.0,0.0,34.38796015809819,33.44692013722557,27.930279446716053
2017,11,426000.00000000006,404633.09901701985,1.0528056183117176,59.73912944517783,1.2284384364783045,21053.070836205927,0.1716141621758851,0.0,0.0,41.22967195631328,47.03216272449711,23.268964039608868
2018,11,488000.0000000001,454128.1517944338,1.0745865414238815,68.60087580413413,1.2314419509102765,17405.946328077534,0.1716769388273337,0.0,0.0,48.13352312449975,54.2969129727622,2.3417175315839502
2019,11,573000.0,538729.6543428751,1.0636132527342061,80.51590174640793,1.230923733505294,12715.222908456088,0.17297411119588446,0.0,0.0,59.05146050051095,50.8081553369359,8.756570617806293
2020,11,686000.0,638231.1683390101,1.0748456578598438,95.69658536036835,1.2253626906785358,26582.65051548083,0.1760497783091619,0.0,0.0,64.77899634213445,76.61276381018227,27.497241166404244
2021,11,898409.0,852478.6115161704,1.0538786403123246,126.41200826080498,1.23258915746019,51222.4921146424,0.17218814748135366,0.0,0.0,97.70950513751957,86.97331073906837,27.536849316136305
2022,11,982177.0000000001,928703.1299121226,1.0575790781419434,137.47796842164493,1.2261608685334817,51186.24195092114,0.17265453480332563,3.441422441041766,0.0,92.1320215739032,104.3527269142995,5.931372269260465
2023,11,1375321.0000000002,1277733.2176399694,1.076375710526083,193.1251534660739,1.2300956244853434,51619.140704437355,0.17373722340524603,0.0,3.441422441041766,151.1971396216188,133.6160038355786,44.89045384102961
2024,11,1728291.0000000005,1616325.4648764506,1.0692716520011694,242.4825592381631,1.232412134500512,83396.15183848995,0.17375323486659044,0.0,0.0,177.64623142417673,173.84979593610674,32.952809786752496
2011,12,71000.0,65812.06984975582,1.0788294633809246,10.096020079697645,1.2456498013824138,2005.3079447676168,0.1876360407918616,0.0,30.520098217271734,7.63736291231205,6.771618949144353,
